location,magnitude,place,time
tokyo,4.1,"9 km NW of Kobe, Japan",1774438272439
tokyo,4.9,"Izu Islands, Japan region",1774309750502
tokyo,4.5,"Izu Islands, Japan region",1774309637771
tokyo,4.5,"76 km SSE of Tateyama, Japan",1774169766405
tokyo,4.8,"Izu Islands, Japan region",1773828523719
tokyo,4.6,"37 km SE of Itō, Japan",1773661069386
tokyo,4.8,"1 km SW of Kiryū, Japan",1773551166727
tokyo,4.3,"134 km E of Tomioka, Japan",1773550124649
tokyo,4.1,"9 km SE of Maizuru, Japan",1773337282999
tokyo,4.3,"277 km SSE of Shimoda, Japan",1773216274304
tokyo,4.1,"9 km NW of Kobe, Japan",1774438272439
tokyo,4.9,"Izu Islands, Japan region",1774309750502
tokyo,4.5,"Izu Islands, Japan region",1774309637771
tokyo,4.5,"76 km SSE of Tateyama, Japan",1774169766405
tokyo,4.8,"Izu Islands, Japan region",1773828523719
tokyo,4.6,"37 km SE of Itō, Japan",1773661069386
tokyo,4.8,"1 km SW of Kiryū, Japan",1773551166727
tokyo,4.3,"134 km E of Tomioka, Japan",1773550124649
tokyo,4.1,"9 km SE of Maizuru, Japan",1773337282999
tokyo,4.3,"277 km SSE of Shimoda, Japan",1773216274304
